full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position
Joe Rodon,Leeds,Defender,39,97.44,0.06,0.01,0.04,0.0,7.43,1.15,1.53,1.57,1.04,1.64,12,29.0,1,15
Brenden Aaronson,Leeds,Midfielder,54,75.19,0.25,0.22,0.05,0.0,1.11,2.16,1.53,1.57,1.04,1.64,12,29.0,1,15
Ethan Ampadu,Leeds,Midfielder,49,99.11,0.06,0.04,0.28,0.0,4.34,2.43,1.53,1.57,1.04,1.64,12,29.0,1,15
Ilia Gruev,Leeds,Midfielder,47,69.24,0.05,0.11,0.23,0.0,2.74,1.67,1.53,1.57,1.04,1.64,12,29.0,1,15
Sean Longstaff,Leeds,Midfielder,48,61.7,0.07,0.24,0.19,0.0,2.39,3.53,1.53,1.57,1.04,1.64,12,29.0,1,15
Anton Stach,Leeds,Midfielder,47,91.11,0.11,0.26,0.14,0.0,3.04,2.32,1.53,1.57,1.04,1.64,12,29.0,1,15
Lucas Estella Perri,Leeds,Goalkeeper,45,100.0,0.0,0.0,0.12,0.0,1.0,0.0,1.53,1.57,1.04,1.64,12,29.0,1,15
Dominic Calvert-Lewin,Leeds,Forward,57,82.27,0.58,0.07,0.05,0.0,1.07,0.49,1.53,1.57,1.04,1.64,12,29.0,1,15
Noah Okafor,Leeds,Midfielder,55,62.71,0.33,0.09,0.21,0.0,1.49,1.42,1.53,1.57,1.04,1.64,12,29.0,1,15
Alisson Becker,Liverpool,Goalkeeper,54,100.0,0.0,0.0,0.04,0.0,1.52,0.0,1.85,1.3,0.94,1.73,20,29.0,0,5
Giorgi Mamardashvili,Liverpool,Goalkeeper,41,100.0,0.0,0.0,0.0,0.0,1.4,0.0,1.85,1.3,0.94,1.73,20,29.0,0,5
Milos Kerkez,Liverpool,Defender,56,81.58,0.04,0.08,0.19,0.0,3.86,1.91,1.85,1.3,0.94,1.73,20,29.0,0,5
Virgil van Dijk,Liverpool,Defender,61,100.0,0.09,0.01,0.14,0.0,8.86,0.64,1.85,1.3,0.94,1.73,20,29.0,0,5
Ibrahima Konaté,Liverpool,Defender,55,96.79,0.07,0.03,0.19,0.0,7.51,1.7,1.85,1.3,0.94,1.73,20,29.0,0,5
Conor Bradley,Liverpool,Defender,49,71.26,0.02,0.11,0.47,0.0,4.46,1.84,1.85,1.3,0.94,1.73,20,29.0,0,5
Mohamed Salah,Liverpool,Midfielder,140,95.33,0.36,0.29,0.05,0.0,0.48,0.37,1.85,1.3,0.94,1.73,20,29.0,0,5
Florian Wirtz,Liverpool,Midfielder,83,84.4,0.28,0.19,0.05,0.0,0.92,1.36,1.85,1.3,0.94,1.73,20,29.0,0,5
Cody Gakpo,Liverpool,Midfielder,73,81.84,0.33,0.26,0.09,0.0,1.37,0.94,1.85,1.3,0.94,1.73,20,29.0,0,5
Alexis Mac Allister,Liverpool,Midfielder,62,79.79,0.15,0.07,0.19,0.0,2.17,1.84,1.85,1.3,0.94,1.73,20,29.0,0,5
Dominik Szoboszlai,Liverpool,Midfielder,69,99.83,0.14,0.19,0.23,0.04,2.59,1.51,1.85,1.3,0.94,1.73,20,29.0,0,5
Ryan Gravenberch,Liverpool,Midfielder,55,98.55,0.04,0.08,0.16,0.0,3.53,1.77,1.85,1.3,0.94,1.73,20,29.0,0,5
Hugo Ekitiké,Liverpool,Forward,91,76.18,0.61,0.1,0.0,0.0,1.61,0.54,1.85,1.3,0.94,1.73,20,29.0,0,5
Antoine Semenyo,Man City,Midfielder,82,100.0,0.39,0.11,0.22,0.0,1.41,1.45,1.99,1.19,1.21,1.69,17,29.0,1,2
James Trafford,Man City,Goalkeeper,45,100.0,0.0,0.0,0.0,0.0,2.0,0.67,1.99,1.19,1.21,1.69,17,29.0,1,2
Marc Guéhi,Man City,Defender,52,100.0,0.13,0.09,0.19,0.0,6.85,1.42,1.99,1.19,1.21,1.69,17,29.0,1,2
Rayan Aït-Nouri,Man City,Defender,57,65.25,0.03,0.12,0.28,0.0,3.78,3.36,1.99,1.19,1.21,1.69,17,29.0,1,2
Joško Gvardiol,Man City,Defender,59,90.76,0.13,0.03,0.14,0.0,5.67,1.18,1.99,1.19,1.21,1.69,17,29.0,1,2
Abdukodir Khusanov,Man City,Defender,54,66.84,0.01,0.01,0.23,0.0,5.97,2.41,1.99,1.19,1.21,1.69,17,29.0,1,2
Matheus Nunes,Man City,Defender,54,92.76,0.03,0.1,0.17,0.0,4.71,1.99,1.99,1.19,1.21,1.69,17,29.0,1,2
Rúben dos Santos Gato Alves Dias,Man City,Defender,55,90.83,0.02,0.02,0.14,0.0,6.8,0.55,1.99,1.19,1.21,1.69,17,29.0,1,2
Nico O'Reilly,Man City,Defender,51,83.99,0.19,0.12,0.18,0.0,3.49,2.65,1.99,1.19,1.21,1.69,17,29.0,1,2
Phil Foden,Man City,Midfielder,81,79.95,0.32,0.23,0.21,0.0,1.1,1.36,1.99,1.19,1.21,1.69,17,29.0,1,2
Bernardo Mota Veiga de Carvalho e Silva,Man City,Midfielder,62,83.73,0.06,0.18,0.3,0.0,2.08,1.34,1.99,1.19,1.21,1.69,17,29.0,1,2
Jérémy Doku,Man City,Midfielder,64,66.11,0.2,0.39,0.0,0.0,0.76,1.15,1.99,1.19,1.21,1.69,17,29.0,1,2
Rodrigo 'Rodri' Hernandez Cascante,Man City,Midfielder,63,72.99,0.02,0.17,0.17,0.0,3.73,2.79,1.99,1.19,1.21,1.69,17,29.0,1,2
