full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence,creativity,threat,ict_index
Wesley Fofana,Chelsea,Defender,44,72.48,0.02,0.05,0.16,0.08,9.81,1.23,2.12,1.48,1.35,1.55,4,29.0,0,5,1,0.25,149,0,7.0,0.3,325.8,46.9,34.0,40.6
Cole Palmer,Chelsea,Midfielder,106,79.44,0.56,0.09,0.28,0.0,1.53,1.24,2.12,1.48,1.35,1.55,4,29.0,0,5,13,0.58,243,1,7.0,16.2,432.0,239.0,405.0,107.4
Pedro Lomba Neto,Chelsea,Midfielder,70,85.99,0.2,0.29,0.08,0.04,0.72,0.63,2.12,1.48,1.35,1.55,4,29.0,0,5,7,0.14,156,0,7.0,4.3,442.8,684.0,427.0,155.6
Enzo Fernández,Chelsea,Midfielder,67,96.39,0.38,0.26,0.3,0.0,1.58,1.76,2.12,1.48,1.35,1.55,4,29.0,0,5,7,0.15,253,1,7.0,15.9,647.4,743.8,614.0,200.6
Moisés Caicedo Corozo,Chelsea,Midfielder,57,94.68,0.06,0.09,0.35,0.04,3.79,3.13,2.12,1.48,1.35,1.55,4,29.0,0,5,8,0.12,270,0,7.0,7.7,476.6,278.2,104.0,85.7
João Pedro Junqueira de Jesus,Chelsea,Forward,77,83.33,0.57,0.15,0.17,0.0,1.47,0.93,2.12,1.48,1.35,1.55,4,29.0,0,5,28,4.4,253,0,7.0,47.4,710.8,409.8,778.0,189.4
Alejandro Garnacho Ferreyra,Chelsea,Midfielder,64,62.47,0.32,0.35,0.09,0.0,0.64,1.1,2.12,1.48,1.35,1.55,4,29.0,0,5,7,0.46,94,0,7.0,0.5,183.4,319.3,318.0,81.1
Dean Henderson,Crystal Palace,Goalkeeper,50,100.0,0.0,0.0,0.1,0.0,1.48,0.0,1.68,1.51,1.18,1.56,16,29.0,0,13,22,0.0,270,0,9.0,8.1,692.0,10.0,0.0,70.1
Daniel Muñoz Mejía,Crystal Palace,Defender,59,94.5,0.11,0.19,0.25,0.0,4.7,2.48,1.68,1.51,1.18,1.56,16,29.0,0,13,11,0.05,193,0,9.0,8.1,438.8,302.3,285.0,102.5
Maxence Lacroix,Crystal Palace,Defender,51,98.72,0.09,0.05,0.11,0.04,8.68,1.84,1.68,1.51,1.18,1.56,16,29.0,0,13,3,0.02,55,0,9.0,4.5,627.2,79.5,217.0,92.4
Tyrick Mitchell,Crystal Palace,Defender,50,99.12,0.05,0.07,0.17,0.0,3.94,2.72,1.68,1.51,1.18,1.56,16,29.0,0,13,14,0.06,270,0,9.0,2.2,499.6,363.2,187.0,105.1
Chris Richards,Crystal Palace,Defender,44,99.73,0.04,0.01,0.12,0.0,8.23,2.01,1.68,1.51,1.18,1.56,16,29.0,0,13,11,0.11,270,0,9.0,2.6,605.6,119.1,135.0,86.2
Nathaniel Clyne,Crystal Palace,Defender,38,71.53,0.05,0.12,0.17,0.0,4.55,2.55,1.68,1.51,1.18,1.56,16,29.0,0,13,1,0.0,76,0,9.0,0.6,80.6,53.5,33.0,16.6
Ismaïla Sarr,Crystal Palace,Midfielder,63,96.61,0.45,0.1,0.11,0.0,1.98,0.94,1.68,1.51,1.18,1.56,16,29.0,0,13,19,1.67,270,0,9.0,3.7,377.0,198.4,396.0,97.3
