full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
Sepp van den Berg,Brentford,Defender,45,97.78,0.13,0.03,0.06,0.0,1.86,1.39,24.0,0.0,8.0
Kevin Schade,Brentford,Midfielder,72,93.18,0.39,0.19,0.29,0.0,1.86,1.39,24.0,0.0,8.0
Mikkel Damsgaard,Brentford,Midfielder,57,72.83,0.1,0.32,0.0,0.0,1.86,1.39,24.0,0.0,8.0
Jordan Henderson,Brentford,Midfielder,50,72.38,0.04,0.17,0.26,0.0,1.86,1.39,24.0,0.0,8.0
Gustavo Nunes Fernandes Gomes,Brentford,Midfielder,49,89.29,0.03,0.04,0.36,0.0,1.86,1.39,24.0,0.0,8.0
Yehor Yarmoliuk,Brentford,Midfielder,50,85.56,0.07,0.06,0.25,0.0,1.86,1.39,24.0,0.0,8.0
Igor Thiago Nascimento Rodrigues,Brentford,Forward,72,93.82,0.76,0.11,0.19,0.0,1.86,1.39,24.0,0.0,8.0
Bart Verbruggen,Brighton,Goalkeeper,45,100.0,0.0,0.0,0.13,0.0,1.56,1.61,24.0,1.0,12.0
Lewis Dunk,Brighton,Defender,45,97.47,0.03,0.02,0.37,0.0,1.56,1.61,24.0,1.0,12.0
Ferdi Kadıoğlu,Brighton,Defender,44,90.66,0.06,0.05,0.2,0.0,1.56,1.61,24.0,1.0,12.0
Jan Paul van Hecke,Brighton,Defender,45,100.0,0.11,0.02,0.27,0.0,1.56,1.61,24.0,1.0,12.0
Joël Veltman,Brighton,Defender,43,61.11,0.13,0.03,0.41,0.0,1.56,1.61,24.0,1.0,12.0
Mitoma Kaoru,Brighton,Midfielder,61,78.8,0.15,0.25,0.2,0.0,1.56,1.61,24.0,1.0,12.0
Georginio Rutter,Brighton,Midfielder,56,73.23,0.15,0.2,0.13,0.0,1.56,1.61,24.0,1.0,12.0
Yankuba Minteh,Brighton,Midfielder,58,84.5,0.17,0.21,0.0,0.0,1.56,1.61,24.0,1.0,12.0
Matt O'Riley,Brighton,Midfielder,55,99.44,0.57,0.08,0.0,0.0,1.56,1.61,24.0,1.0,12.0
